kind,name
66,Semillas
3,Manzanas
4,Naranjas
5,Uvas
6,Grano
72,Caña de azúcar
40,Algodón
115,Vacas
116,Cerdos
118,Granos de café
136,Cacao
120,Verduras
139,Forraje
137,Masa
138,Salsa
7,Bistec
8,Salchichas
9,Huevos
117,Leche
119,Café en polvo
133,Harina
121,Pan
123,Tarta de manzana
124,Jugo de naranja
125,Sidra de manzana
126,Cerveza de jengibre
127,Pizza congelada
128,Pasta
134,Mantequilla
122,Queso
140,Chocolate
135,Azúcar
129,Hamburguesa
130,Lasaña
131,Albóndigas
132,Cócteles
141,Aceite vegetal
142,Ensalada
143,Samosa
149,Sopa de calabaza
106,Madera
101,Concreto reforzado
102,Bloques
103,Cemento
104,Arcilla
105,Caliza
107,Vigas de acero
108,Tablones
109,Ventanas
110,Herramientas
111,Unidades de construcción
41,Tela
46,Cuero
60,Ropa interior
61,Guantes
62,Vestido
63,Tacón
64,Bolsos de mano
65,Zapatillas
70,Reloj de lujo
71,Collar
10,Petróleo
11,Gasolina
12,Diésel
1,Electricidad
73,Etanol
74,Metano
83,Combustible para cohetes
20,Procesadores
21,Componentes electrónicos
22,Baterías
23,Pantallas
24,Teléfonos inteligentes
25,Tabletas
26,Laptops
27,Monitores
28,Televisores
79,Electrónicos de alto grado
98,Cuadricóptero
114,Robots
47,Computadora a bordo
48,Motor eléctrico
49,Interior de coche de lujo
50,Interior básico
51,Carrocería
52,Motor de combustión
53,E-car económico
54,E-car de lujo
55,Coche económico
56,Coche de lujo
57,Camión
112,Excavadora
77,Fuselaje
78,Ala
80,Computadora de vuelo
81,Cabina
82,Control de actitud
84,Tanque de propelente
85,Propulsor sólido
86,Motor cohete
87,Escudo térmico
88,Propulsor iónico
89,Motor de turbina
2,Agua
13,Transporte
14,Minerales
15,Bauxita
16,Silicio
17,Químicos
18,Aluminio
19,Plástico
42,Mineral de hierro
43,Acero
44,Arena
45,Vidrio
68,Mineral de oro
69,Barras de oro
75,Fibras de carbono
76,Compuesto de carbono
29,Investigación agrícola
30,Investigación energética
31,Investigación minera
32,Investigación electrónica
33,Investigación ganadera
34,Investigación química
35,Software
58,Investigación automotriz
59,Investigación de moda
100,Investigación aeroespacial
113,Investigación de materiales
145,Recetas
146,Calabaza
67,Sorpresas navideñas
144,Adorno de navidad
147,Calabaza de Halloween
148,Disfraz de bruja
150,Árbol
151,Conejo de Pascua
152,Dulces de ramadán
153,Helado de chocolate
154,Helado de manzana
155,Cream egg
